addresstype,city,dt,summary,temp_min,temp_max,temp_day,feels_like_day,feels_like_night,feels_like_eve,feels_like_morn,humidity,clouds,pop,rain,uvi,wind_speed
city,Rouen,2024-06-22 13:00:00,Expect a day of partly cloudy with rain,11.99,18.65,18.17,17.74,11.67,16.78,12.46,65,77,1.0,4.36,6.32,7.15
city,Rouen,2024-06-23 13:00:00,Expect a day of partly cloudy with clear spells,10.96,22.06,21.5,21.35,13.3,20.26,12.48,63,19,0.0,,8.38,4.43
city,Rouen,2024-06-24 13:00:00,"You can expect clear sky in the morning, with partly cloudy in the afternoon",12.17,23.9,23.05,23.06,16.92,22.12,12.77,63,7,0.0,,8.38,3.04
city,Rouen,2024-06-25 13:00:00,Expect a day of partly cloudy with rain,15.08,25.87,25.12,25.31,18.63,22.38,17.83,62,0,0.2,0.2,7.8,3.67
city,Rouen,2024-06-26 13:00:00,Expect a day of partly cloudy with rain,15.96,22.49,19.67,20.12,15.83,17.57,19.35,93,77,1.0,5.73,8.0,7.06
city,Rouen,2024-06-27 13:00:00,"You can expect partly cloudy in the morning, with rain in the afternoon",12.71,18.22,18.22,17.77,12.49,16.69,13.6,64,81,1.0,3.63,8.0,5.98
city,Rouen,2024-06-28 13:00:00,Expect a day of partly cloudy with rain,9.86,19.18,19.18,18.75,12.94,17.89,11.91,61,88,0.74,0.15,8.0,3.55
city,Strasbourg,2024-06-21 13:00:00,"There will be partly cloudy until morning, then rain",15.84,21.58,19.28,19.64,15.96,18.94,18.39,91,90,1.0,33.53,6.66,5.38
city,Strasbourg,2024-06-22 13:00:00,Expect a day of partly cloudy with rain,13.14,16.5,14.36,14.25,12.96,16.23,14.95,92,100,1.0,9.41,2.03,3.99
city,Strasbourg,2024-06-23 13:00:00,Expect a day of partly cloudy with rain,11.56,21.69,20.46,20.26,15.57,20.44,12.35,65,23,0.63,0.33,7.97,5.11
city,Strasbourg,2024-06-24 13:00:00,Expect a day of partly cloudy with rain,13.88,24.29,23.77,23.9,18.04,22.05,14.59,65,15,0.2,0.3,8.6,6.43
city,Strasbourg,2024-06-25 13:00:00,Expect a day of partly cloudy with rain,14.95,24.26,24.26,24.39,19.83,22.06,16.72,63,79,1.0,1.93,7.99,4.62
